@timestamp:date,status:long,msg:keyword,service:keyword
2026-01-05T08:00:00.000Z,200,GET /api/users,web-frontend
2026-01-05T08:05:00.000Z,200,GET /api/products,web-frontend
2026-01-05T08:10:00.000Z,200,GET /api/orders,web-frontend
2026-01-05T08:15:00.000Z,200,POST /api/login,web-frontend
2026-01-05T08:20:00.000Z,200,GET /static/app.js,web-frontend
2026-01-05T08:25:00.000Z,301,GET /old-path,web-frontend
2026-01-05T08:30:00.000Z,404,GET /missing,web-frontend
2026-01-05T08:35:00.000Z,503,GET /api/checkout,web-frontend
2026-01-06T08:00:00.000Z,200,GET /api/users,web-frontend
2026-01-06T08:05:00.000Z,200,GET /api/products,web-frontend
2026-01-06T08:10:00.000Z,200,GET /api/orders,web-frontend
2026-01-06T08:15:00.000Z,200,POST /api/login,web-frontend
2026-01-06T08:20:00.000Z,200,GET /static/app.js,web-frontend
2026-01-06T08:25:00.000Z,301,GET /old-path,web-frontend
2026-01-06T08:30:00.000Z,404,GET /missing,web-frontend
2026-01-06T08:35:00.000Z,503,GET /api/checkout,web-frontend
2026-01-07T08:00:00.000Z,200,GET /api/users,web-frontend
2026-01-07T08:05:00.000Z,200,GET /api/products,web-frontend
2026-01-07T08:10:00.000Z,200,GET /api/orders,web-frontend
2026-01-07T08:15:00.000Z,200,POST /api/login,web-frontend
2026-01-07T08:20:00.000Z,200,GET /static/app.js,web-frontend
2026-01-07T08:25:00.000Z,301,GET /old-path,web-frontend
2026-01-07T08:30:00.000Z,404,GET /missing,web-frontend
2026-01-07T08:35:00.000Z,503,GET /api/checkout,web-frontend
2026-01-08T08:00:00.000Z,200,GET /api/users,web-frontend
2026-01-08T08:05:00.000Z,200,GET /api/products,web-frontend
2026-01-08T08:10:00.000Z,200,GET /api/orders,web-frontend
2026-01-08T08:15:00.000Z,200,POST /api/login,web-frontend
2026-01-08T08:20:00.000Z,200,GET /static/app.js,web-frontend
2026-01-08T08:25:00.000Z,301,GET /old-path,web-frontend
2026-01-08T08:30:00.000Z,404,GET /missing,web-frontend
2026-01-08T08:35:00.000Z,503,GET /api/checkout,web-frontend
2026-01-09T08:00:00.000Z,200,GET /api/users,web-frontend
2026-01-09T08:05:00.000Z,200,GET /api/products,web-frontend
2026-01-09T08:10:00.000Z,200,GET /api/orders,web-frontend
2026-01-09T08:15:00.000Z,200,POST /api/login,web-frontend
2026-01-09T08:20:00.000Z,200,GET /static/app.js,web-frontend
2026-01-09T08:25:00.000Z,301,GET /old-path,web-frontend
2026-01-09T08:30:00.000Z,404,GET /missing,web-frontend
2026-01-09T08:35:00.000Z,503,GET /api/checkout,web-frontend
2026-01-10T08:00:00.000Z,200,GET /api/users,web-frontend
2026-01-10T08:05:00.000Z,200,GET /api/products,web-frontend
2026-01-10T08:10:00.000Z,200,GET /api/orders,web-frontend
2026-01-10T08:15:00.000Z,200,POST /api/login,web-frontend
2026-01-10T08:20:00.000Z,200,GET /static/app.js,web-frontend
2026-01-10T08:25:00.000Z,301,GET /old-path,web-frontend
2026-01-10T08:30:00.000Z,404,GET /missing,web-frontend
2026-01-10T08:35:00.000Z,503,GET /api/checkout,web-frontend
2026-01-11T08:00:00.000Z,200,GET /api/users,web-frontend
2026-01-11T08:05:00.000Z,200,GET /api/products,web-frontend
2026-01-11T08:10:00.000Z,200,GET /api/orders,web-frontend
2026-01-11T08:15:00.000Z,200,POST /api/login,web-frontend
2026-01-11T08:20:00.000Z,200,GET /static/app.js,web-frontend
2026-01-11T08:25:00.000Z,301,GET /old-path,web-frontend
2026-01-11T08:30:00.000Z,404,GET /missing,web-frontend
2026-01-11T08:35:00.000Z,503,GET /api/checkout,web-frontend
2026-01-12T08:00:00.000Z,200,GET /api/users,web-frontend
2026-01-12T08:05:00.000Z,200,GET /api/products,web-frontend
2026-01-12T08:10:00.000Z,200,GET /api/orders,web-frontend
2026-01-12T08:15:00.000Z,200,POST /api/login,web-frontend
2026-01-12T08:20:00.000Z,200,GET /static/app.js,web-frontend
2026-01-12T08:25:00.000Z,301,GET /old-path,web-frontend
2026-01-12T08:30:00.000Z,404,GET /missing,web-frontend
2026-01-12T08:35:00.000Z,503,GET /api/checkout,web-frontend
2026-01-13T08:00:00.000Z,200,GET /api/users,web-frontend
2026-01-13T08:05:00.000Z,200,GET /api/products,web-frontend
2026-01-13T08:10:00.000Z,200,GET /api/orders,web-frontend
2026-01-13T08:15:00.000Z,200,POST /api/login,web-frontend
2026-01-13T08:20:00.000Z,200,GET /static/app.js,web-frontend
2026-01-13T08:25:00.000Z,301,GET /old-path,web-frontend
2026-01-13T08:30:00.000Z,404,GET /missing,web-frontend
2026-01-13T08:35:00.000Z,503,GET /api/checkout,web-frontend
2026-01-14T08:00:00.000Z,200,GET /api/users,web-frontend
2026-01-14T08:05:00.000Z,200,GET /api/products,web-frontend
2026-01-14T08:10:00.000Z,200,GET /api/orders,web-frontend
2026-01-14T08:15:00.000Z,200,POST /api/login,web-frontend
2026-01-14T08:20:00.000Z,200,GET /static/app.js,web-frontend
2026-01-14T08:25:00.000Z,301,GET /old-path,web-frontend
2026-01-14T08:30:00.000Z,404,GET /missing,web-frontend
2026-01-14T08:35:00.000Z,503,GET /api/checkout,web-frontend
